po_id,vendor_name,order_date,expected_delivery_date,actual_delivery_date,status,total_amount
PO-2024-030,Mekong Trading & Logistics,2024-12-06,2024-12-20,2024-12-20,COMPLETED,15848.24
PO-2024-031,DongA Electronics Ltd,2024-07-26,2024-07-31,2024-07-31,COMPLETED,12878.21
PO-2024-032,Pacific Component Corp,2024-11-06,2024-11-16,2024-11-18,COMPLETED,16810.04
PO-2024-033,Pacific Component Corp,2024-08-30,2024-09-06,2024-09-07,COMPLETED,14247.23
PO-2024-034,Pacific Component Corp,2024-06-20,2024-06-25,2024-06-25,COMPLETED,16764.73
PO-2024-035,VinaHardware Global,2024-04-11,2024-04-18,2024-04-18,COMPLETED,21742.98
PO-2024-036,Pacific Component Corp,2024-02-07,2024-02-21,2024-02-24,COMPLETED,15210.73
PO-2024-037,Mekong Trading & Logistics,2024-09-10,2024-09-24,2024-09-27,COMPLETED,17001.96
PO-2024-038,CyberTech Supply Co.,2024-08-05,2024-08-12,2024-08-15,COMPLETED,14287.32
PO-2024-039,CyberTech Supply Co.,2024-10-12,2024-10-19,2024-10-19,COMPLETED,13303.39
PO-2024-040,Mekong Trading & Logistics,2024-12-07,2024-12-17,,PENDING,20262.81
PO-2024-041,Pacific Component Corp,2024-09-15,2024-09-29,2024-09-28,COMPLETED,13134.62
PO-2024-042,VinaHardware Global,2024-08-31,2024-09-14,2024-09-14,COMPLETED,19437.81
PO-2024-043,DongA Electronics Ltd,2024-09-23,2024-10-07,2024-10-08,COMPLETED,13037.96
PO-2024-044,DongA Electronics Ltd,2024-04-30,2024-05-10,2024-05-09,COMPLETED,7289.24
PO-2024-045,VinaHardware Global,2024-04-28,2024-05-12,2024-05-15,COMPLETED,9423.25
PO-2024-046,Mekong Trading & Logistics,2024-07-27,2024-08-06,2024-08-08,COMPLETED,6996.25
PO-2024-047,Mekong Trading & Logistics,2024-07-18,2024-07-23,2024-07-22,COMPLETED,12086.1
PO-2024-048,CyberTech Supply Co.,2024-06-29,2024-07-09,2024-07-11,COMPLETED,14611.53
PO-2024-049,Pacific Component Corp,2024-11-04,2024-11-11,2024-11-12,COMPLETED,12973.38
PO-2024-050,CyberTech Supply Co.,2024-07-18,2024-07-28,2024-07-30,COMPLETED,17586.9
PO-2024-051,Mekong Trading & Logistics,2024-03-06,2024-03-11,2024-03-10,COMPLETED,15030.27
PO-2024-052,CyberTech Supply Co.,2024-02-12,2024-02-26,2024-02-28,COMPLETED,8907.66
PO-2024-053,DongA Electronics Ltd,2024-07-13,2024-07-23,2024-07-24,COMPLETED,11400.01
PO-2024-054,Mekong Trading & Logistics,2024-05-22,2024-06-05,2024-06-05,COMPLETED,13524.91
PO-2024-055,Pacific Component Corp,2024-01-27,2024-02-06,2024-02-06,COMPLETED,18499.73
PO-2024-056,CyberTech Supply Co.,2024-01-16,2024-01-23,2024-01-23,COMPLETED,15941.37
PO-2024-057,VinaHardware Global,2024-03-05,2024-03-19,2024-03-18,COMPLETED,21164.11
PO-2024-058,Mekong Trading & Logistics,2024-05-11,2024-05-21,2024-05-20,COMPLETED,21419.76
PO-2024-059,CyberTech Supply Co.,2024-03-24,2024-04-03,2024-04-03,COMPLETED,20862.19
PO-2024-060,Pacific Component Corp,2024-07-11,2024-07-25,,PENDING,9173.28
PO-2024-061,Pacific Component Corp,2024-11-17,2024-11-24,2024-11-25,COMPLETED,19604.69
PO-2024-062,Pacific Component Corp,2024-03-02,2024-03-07,2024-03-09,COMPLETED,16584.34
PO-2024-063,CyberTech Supply Co.,2024-09-16,2024-09-26,2024-09-28,COMPLETED,19157.29
PO-2024-064,CyberTech Supply Co.,2024-08-09,2024-08-19,2024-08-21,COMPLETED,17316.94
PO-2024-065,Mekong Trading & Logistics,2024-03-31,2024-04-10,2024-04-09,COMPLETED,18394.26
PO-2024-066,Mekong Trading & Logistics,2024-08-11,2024-08-21,2024-08-21,COMPLETED,19291.7
PO-2024-067,CyberTech Supply Co.,2024-05-22,2024-06-05,2024-06-07,COMPLETED,15117.59
PO-2024-068,Mekong Trading & Logistics,2024-06-21,2024-06-26,2024-06-27,COMPLETED,8909.44
PO-2024-069,VinaHardware Global,2024-06-30,2024-07-10,2024-07-09,COMPLETED,17218.94
PO-2024-070,DongA Electronics Ltd,2024-10-11,2024-10-16,2024-10-16,COMPLETED,7369.81
PO-2024-071,Mekong Trading & Logistics,2024-09-07,2024-09-14,2024-09-17,COMPLETED,17389.48
PO-2024-072,Mekong Trading & Logistics,2024-01-09,2024-01-14,2024-01-16,COMPLETED,17068.59
PO-2024-073,DongA Electronics Ltd,2024-12-05,2024-12-15,2024-12-14,COMPLETED,11500.12
PO-2024-074,Pacific Component Corp,2024-06-18,2024-06-28,2024-06-29,COMPLETED,10905.97
PO-2024-075,VinaHardware Global,2024-03-02,2024-03-09,2024-03-12,COMPLETED,14573.82
PO-2024-076,VinaHardware Global,2024-04-08,2024-04-15,2024-04-16,COMPLETED,17593.36
PO-2024-077,Pacific Component Corp,2024-11-01,2024-11-11,,PENDING,19322.05
PO-2024-078,DongA Electronics Ltd,2024-04-26,2024-05-06,2024-05-06,COMPLETED,17328.3
PO-2024-079,VinaHardware Global,2024-05-20,2024-05-25,,PENDING,14853.74
PO-2024-080,VinaHardware Global,2024-11-22,2024-12-06,2024-12-06,COMPLETED,15185.03
PO-2024-081,Mekong Trading & Logistics,2024-09-02,2024-09-16,2024-09-16,COMPLETED,10039.65
PO-2024-082,Mekong Trading & Logistics,2024-02-28,2024-03-04,2024-03-04,COMPLETED,15232.34
PO-2024-083,CyberTech Supply Co.,2024-03-18,2024-03-25,2024-03-26,COMPLETED,7362.89
PO-2024-084,VinaHardware Global,2024-03-01,2024-03-15,2024-03-14,COMPLETED,9610.99
PO-2024-085,Pacific Component Corp,2024-07-13,2024-07-27,2024-07-28,COMPLETED,19762.67
PO-2024-086,Mekong Trading & Logistics,2024-06-05,2024-06-10,2024-06-13,COMPLETED,7587.74
PO-2024-087,VinaHardware Global,2024-11-16,2024-11-23,2024-11-23,COMPLETED,8512.91
PO-2024-088,VinaHardware Global,2024-10-09,2024-10-14,2024-10-16,COMPLETED,13208.06
PO-2024-089,Pacific Component Corp,2024-08-28,2024-09-07,2024-09-08,COMPLETED,17311.29
